MALE,FEMALE
36,34
58,50
67,52
75,55
86,71
93,75
96,76
97,79
112,81
122,86
128,95
130,100
136,103
143,104
146,105
147,109
149,118
156,121
158,122
159,122
160,128
161,130
163,132
164,133
165,135
165,136
166,140
166,141
167,142
168,143
168,144
168,144
172,146
172,148
172,148
173,149
174,149
175,149
175,153
175,154
178,155
181,158
181,159
182,160
183,160
186,162
186,164
186,166
187,166
188,166
191,167
191,168
192,168
193,169
195,172
196,173
196,174
197,175
200,175
201,179
203,181
205,182
205,182
207,183
207,184
207,187
208,189
209,190
210,191
213,193
213,193
214,195
216,195
239,196
247,196
248,199
249,201
250,205
255,205
259,208
263,209
265,210
275,213
275,218
281,218
282,223
286,227
287,229
290,252
290,260
294,265
297,279
303,282
321,284
340,284
357,286
376,287
448,295
522,315
541,466
